# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	5794
#@/user_id	32c9a853-ebe4-49e9-ac71-f12fd2996abe
a 	吖	c=2 d=0.00608616 t=5794
a 	啊	c=42 d=0.0114423 t=5794
a yi 	阿姨	c=3 d=1.21593e-06 t=5794
ai 	唉	c=3 d=0.00708348 t=5794
ai 	愛	c=3 d=1.0604 t=5794
ai jiu 	艾灸	c=1 d=0.390628 t=5794
an 	安	c=1 d=4.32078e-11 t=5794
an 	按	c=1 d=4.32005e-09 t=5794
an jian 	按鍵	c=1 d=1.47392e-05 t=5794
an la 	安拉	c=0 d=2.83211e-13 t=5794
an la an la 	安拉安拉	c=1 d=2.8463e-12 t=5794
an niu 	按鈕	c=1 d=7.67728e-09 t=5794
an pai 	安排	c=1 d=0.214381 t=5794
an ya 	按壓	c=1 d=3.25604e-06 t=5794
an zhuang 	安裝	c=2 d=4.05865e-10 t=5794
an zhuo 	安卓	c=1 d=4.21195e-05 t=5794
ao 	傲	c=1 d=0.0031354 t=5794
ao ba 	奧巴	c=1 d=1.10879e-09 t=5794
ba 	吧	c=42 d=0.0154111 t=5794
ba 	巴	c=1 d=7.7518e-05 t=5794
ba 	把	c=6 d=0.00755912 t=5794
ba ba 	爸爸	c=0 d=3.07593e-14 t=5794
ba ba qu 	爸爸去	c=1 d=3.09134e-13 t=5794
ba gua 	八卦	c=1 d=5.33136e-13 t=5794
ba wo 	把握	c=2 d=0.0423557 t=5794
bai bai 	拜拜	c=1 d=0.00390694 t=5794
bai du 	百度	c=12 d=0.000321189 t=5794
bai du yun 	百度雲	c=2 d=1.07306e-06 t=5794
bai xiang 	白象	c=1 d=0.449329 t=5794
ban 	半	c=1 d=0.000439444 t=5794
ban 	斑	c=1 d=0.00171216 t=5794
ban 	版	c=1 d=8.82797e-05 t=5794
ban 	辦	c=1 d=0.000202454 t=5794
ban ben 	版本	c=4 d=0.00289644 t=5794
ban fa 	辦法	c=1 d=2.65342e-10 t=5794
ban ge yue 	半個月	c=1 d=8.98459e-06 t=5794
ban jing 	半徑	c=3 d=2.82744 t=5794
ban si bu huo 	半死不活	c=1 d=3.49272e-08 t=5794
ban xiao shi 	半小時	c=1 d=5.00537e-06 t=5794
bang 	幫	c=5 d=0.00010628 t=5794
bang mang 	幫忙	c=1 d=1.10078e-12 t=5794
bang wo 	幫我	c=1 d=2.50452e-07 t=5794
bang zhu 	幫助	c=2 d=1.08692 t=5794
bao 	暴	c=1 d=0.000173384 t=5794
bao bian 	褒貶	c=1 d=1.9119e-07 t=5794
bao biao 	報表	c=3 d=3.87353e-07 t=5794
bao chi 	保持	c=3 d=0.162291 t=5794
bao cun 	保存	c=2 d=0.031403 t=5794
bao dao 	報道	c=1 d=6.5602e-12 t=5794
bao gao 	報告	c=1 d=0.190139 t=5794
bao guo 	包裹	c=1 d=0.113042 t=5794
bao xian 	保險	c=1 d=4.80992e-08 t=5794
bao xiao 	報銷	c=1 d=5.83244e-11 t=5794
bao yuan 	抱怨	c=1 d=0.0916297 t=5794
bao zheng 	保證	c=2 d=0.0381969 t=5794
bao zheng jin 	保證金	c=1 d=6.47705e-09 t=5794
bei 	唄	c=1 d=7.57998e-06 t=5794
bei 	被	c=3 d=0.0287246 t=5794
bei hou 	背後	c=1 d=0.092089 t=5794
bei pan 	背叛	c=1 d=0.0473589 t=5794
bei zhu 	備註	c=1 d=2.53012e-09 t=5794
ben 	本	c=3 d=0.000150009 t=5794
ben di 	本地	c=2 d=0.0505361 t=5794
ben lai 	本來	c=1 d=8.07228e-11 t=5794
ben pao 	奔跑	c=1 d=2.92591e-13 t=5794
beng kui 	崩潰	c=2 d=0.000283018 t=5794
bi 	比	c=3 d=0.000175662 t=5794
bi 	筆	c=1 d=6.18994e-05 t=5794
bi xu 	必須	c=1 d=0.222017 t=5794
bi zhi 	壁紙	c=2 d=0.000300519 t=5794
bian 	變	c=1 d=6.92758e-06 t=5794
bian cheng 	編程	c=6 d=0.690641 t=5794
bian geng 	變更	c=2 d=1.03615e-06 t=5794
bian hua 	變化	c=3 d=0.0346508 t=5794
bian ji 	編輯	c=1 d=0.126186 t=5794
bian jie 	邊界	c=3 d=2.79819 t=5794
bian ma 	編碼	c=3 d=0.178642 t=5794
bian xie 	編寫	c=4 d=0.423576 t=5794
biao 	表	c=2 d=0.798524 t=5794
biao da 	表達	c=1 d=0.100761 t=5794
biao ge 	表格	c=1 d=2.71967e-06 t=5794
bie ren 	別人	c=2 d=1.09237 t=5794
bing 	並	c=4 d=1.1543 t=5794
bing qie 	並且	c=1 d=4.79995e-13 t=5794
bo 	柏	c=1 d=0.00123708 t=5794
bo fang 	播放	c=1 d=0.00927901 t=5794
bo ke 	博客	c=1 d=3.43242e-09 t=5794
bu 	不	c=35 d=0.22211 t=5794
bu 	步	c=1 d=0.00100276 t=5794
bu bi 	不必	c=1 d=0.0250972 t=5794
bu chi 	不吃	c=2 d=0.00161493 t=5794
bu chu xian 	不出現	c=1 d=2.12429e-11 t=5794
bu cuo 	不錯	c=6 d=4.67655e-07 t=5794
bu da 	不大	c=1 d=1.84582e-05 t=5794
bu da 	不達	c=1 d=0.0122161 t=5794
bu dong 	不懂	c=2 d=0.000424351 t=5794
bu dui 	不對	c=2 d=0.0138427 t=5794
bu duo 	不多	c=1 d=9.14398e-07 t=5794
bu e 	不餓	c=1 d=2.51057e-06 t=5794
bu eng 	不嗯	c=1 d=1.00796e-05 t=5794
bu er 	布爾	c=1 d=0.366045 t=5794
bu fen 	部分	c=1 d=1.03383e-09 t=5794
bu gai 	不該	c=2 d=0.0232958 t=5794
bu gan xing qu 	不感興趣	c=1 d=2.3469e-07 t=5794
bu gao 	不搞	c=1 d=0.00554422 t=5794
bu guan 	不管	c=2 d=1.97112e-05 t=5794
bu gui 	不貴	c=1 d=4.31857e-05 t=5794
bu guo 	不過	c=2 d=2.45141e-07 t=5794
bu hao 	不好	c=4 d=1.02824e-07 t=5794
bu hao yi si 	不好意思	c=2 d=9.40488e-11 t=5794
bu he 	不合	c=1 d=3.68067e-07 t=5794
